x÷·,y÷·,z÷·
169.278,-288.434,-347.396
169.231,-288.216,-347.385
169.132,-288.175,-347.531
169.207,-288.345,-347.607
169.253,-288.408,-347.62
169.181,-288.278,-347.586
169.313,-288.311,-347.393
169.241,-288.406,-347.245
169.183,-288.454,-347.373
169.167,-288.261,-347.381
169.167,-288.206,-347.344
169.033,-288.422,-347.328
169.144,-288.334,-347.521
169.087,-288.15,-347.561
169.24,-288.134,-347.631
169.036,-288.271,-347.681
169.041,-288.218,-347.568
169.155,-288.225,-347.575
169.217,-288.114,-347.651
169.065,-288.207,-347.58
169.178,-288.244,-347.462
169.183,-288.242,-347.496
169.143,-288.059,-347.562
169.16,-288.139,-347.371
169.078,-288.084,-347.5
168.988,-288.211,-347.579
169.05,-288.129,-347.593
169.025,-288.153,-347.428
169.11,-288.195,-347.365
169.153,-288.125,-347.463
169.116,-288.2,-347.324
169.146,-288.105,-347.376
168.935,-288.194,-347.509
169.012,-288.203,-347.472
169.028,-288.205,-347.554
168.989,-288.217,-347.642
169.056,-288.055,-347.701
169.054,-288.186,-347.73
169.155,-288.346,-347.647
169.125,-288.242,-347.678
169.085,-288.185,-347.586
169.372,-288.332,-347.592
169.273,-288.137,-347.6
169.225,-288.206,-347.416
169.115,-288.26,-347.564
169.214,-288.382,-347.527
169.147,-288.125,-347.465
169.316,-288.226,-347.363
169.203,-288.292,-347.541
169.263,-288.206,-347.603
169.294,-288.221,-347.471
169.32,-288.255,-347.528
169.211,-288.189,-347.471
169.176,-288.226,-347.431
169.326,-288.232,-347.538
169.1,-288.307,-347.5
169.057,-288.248,-347.546
169.182,-288.237,-347.458
169.258,-288.407,-347.516
169.325,-288.339,-347.573
169.086,-288.148,-347.521
169.122,-288.283,-347.535
169.191,-288.3,-347.553
169.171,-288.28,-347.414
169.224,-288.26,-347.383
169.206,-288.182,-347.471
169.066,-288.338,-347.559
169.039,-288.207,-347.519
169.181,-288.206,-347.4
169.03,-288.436,-347.371
169.021,-288.29,-347.325
168.945,-288.221,-347.336
168.994,-288.318,-347.356
169.1,-288.267,-347.291
169.263,-288.178,-347.279
169.061,-288.232,-347.358
169.168,-288.283,-347.36
169.049,-288.219,-347.331
169.024,-288.189,-347.454
169.061,-288.153,-347.527
169.175,-288.169,-347.464
169.068,-288.096,-347.666
169.083,-288.088,-347.63
169.079,-288.043,-347.704
169.042,-288.125,-347.455
168.922,-288.315,-347.393
169.017,-288.326,-347.49
169.23,-288.32,-347.309
169.235,-288.324,-347.322
169.039,-288.329,-347.306
169.188,-288.227,-347.453
169.331,-288.222,-347.45
169.372,-288.265,-347.529
169.239,-288.277,-347.523
169.146,-288.316,-347.492
169.09,-288.284,-347.346
168.97,-288.324,-347.526
169.082,-288.439,-347.325
169.152,-288.347,-347.459
169.026,-288.348,-347.513
169.079,-288.043,-347.704
169.042,-288.125,-347.455
168.922,-288.315,-347.393
169.017,-288.326,-347.49
169.23,-288.32,-347.309
169.235,-288.324,-347.322
169.039,-288.329,-347.306
169.188,-288.227,-347.453
169.331,-288.222,-347.45
169.372,-288.265,-347.529
169.239,-288.277,-347.523
169.146,-288.316,-347.492
169.09,-288.284,-347.346
168.97,-288.324,-347.526
169.082,-288.439,-347.325
169.152,-288.347,-347.459
169.026,-288.348,-347.513
169.151,-288.409,-347.482
169.051,-288.335,-347.537
168.993,-288.235,-347.408
169.188,-288.287,-347.479
169.055,-288.326,-347.398
169.017,-288.352,-347.563
169.185,-288.323,-347.691
169.134,-288.265,-347.6
169.245,-288.193,-347.524
169.265,-288.28,-347.512
169.152,-288.442,-347.567
168.903,-288.543,-347.323
168.917,-288.505,-347.364
169.384,-288.097,-347.332
169.341,-288.265,-347.417
169.16,-288.385,-347.49
169.215,-288.31,-347.442
169.299,-288.31,-347.399
169.063,-288.247,-347.484
169.034,-288.154,-347.492
169.027,-288.128,-347.333
169.144,-288.284,-347.351
169.053,-288.241,-347.407
168.99,-288.071,-347.669
169.093,-288.227,-347.354
169.187,-288.159,-347.394
169.264,-288.251,-347.295
169.159,-288.222,-347.218
169.109,-288.2,-347.243
169.191,-288.185,-347.381
168.918,-288.383,-347.44
169.069,-288.295,-347.303
169.144,-288.419,-347.233
169.091,-288.313,-347.492
169.225,-288.231,-347.372
169.115,-288.217,-347.248
169.154,-288.272,-347.265
169.054,-288.252,-347.304
169.018,-288.053,-347.425
169.135,-288.282,-347.563
169.069,-288.23,-347.42
168.942,-288.239,-347.371
169.065,-288.168,-347.39
168.981,-288.165,-347.369
168.905,-288.142,-347.433
168.871,-288.175,-347.325
168.956,-288.102,-347.461
169.128,-288.006,-347.302
168.93,-287.952,-347.312
168.99,-288.103,-347.497
169.012,-288.172,-347.28
169.139,-288.202,-347.333
169.163,-288.222,-347.324
169.196,-288.211,-347.54
169.173,-288.2,-347.475
169.2,-288.179,-347.373
169.178,-288.265,-347.292
169.225,-288.095,-347.343
169.157,-288.201,-347.514
169.013,-288.173,-347.495
169.055,-288.12,-347.369
169.062,-288.017,-347.522
168.936,-288.195,-347.522
169.094,-288.198,-347.402
168.981,-288.093,-347.391
169.188,-288.043,-347.475
169.042,-288.041,-347.533
169.323,-288.19,-347.642
169.134,-288.221,-347.476
169.125,-288.15,-347.545
169.256,-288.134,-347.494
169.239,-288.198,-347.455
169.216,-288.104,-347.383
169.107,-288.143,-347.485
169.158,-288.231,-347.31
169.058,-288.306,-347.578
168.98,-288.322,-347.5
169.029,-288.239,-347.277
169.131,-288.149,-347.308
169.032,-288.205,-347.429
168.936,-288.142,-347.552
169.033,-288.171,-347.47
169.06,-288.257,-347.579
169.125,-288.15,-347.545
169.256,-288.134,-347.494
169.239,-288.198,-347.455
169.216,-288.104,-347.383
169.107,-288.143,-347.485
169.158,-288.231,-347.31
169.058,-288.306,-347.578
168.98,-288.322,-347.5
169.029,-288.239,-347.277
169.131,-288.149,-347.308
169.032,-288.205,-347.429
168.936,-288.142,-347.552
169.033,-288.171,-347.47
169.06,-288.257,-347.579
168.901,-288.326,-347.593
169.124,-288.31,-347.386
169.126,-288.281,-347.346
169.141,-288.289,-347.298
169.327,-288.245,-347.376
169.386,-288.359,-347.408
169.291,-288.275,-347.475
169.242,-288.306,-347.471
169.182,-288.185,-347.473
169.225,-288.271,-347.59
169.325,-288.396,-347.51
169.215,-288.28,-347.453
169.051,-288.355,-347.456
169.124,-288.199,-347.592
169.178,-288.311,-347.449
169.315,-288.1,-347.347
169.225,-288.132,-347.533
169.208,-288.157,-347.374
169.191,-288.15,-347.515
169.443,-288.258,-347.367
169.166,-288.152,-347.454
169.104,-288.069,-347.395
169.121,-288.205,-347.384
169.14,-288.177,-347.28
169.084,-288.163,-347.337
169.063,-288.16,-347.423
169.293,-288.247,-347.433
169.188,-288.194,-347.486
169.155,-288.336,-347.499
169.177,-288.374,-347.425
168.971,-288.317,-347.443
169.158,-288.434,-347.503
169.11,-288.167,-347.479
168.988,-288.233,-347.365
169.095,-288.409,-347.426
169.041,-288.338,-347.413
169.066,-288.362,-347.486
169.185,-288.295,-347.594
169.138,-288.149,-347.59
169.293,-288.142,-347.42
169.153,-288.243,-347.567
169.141,-288.264,-347.499
169.102,-288.235,-347.625
169.17,-288.163,-347.514
169.081,-288.431,-347.471
168.962,-288.228,-347.361
168.984,-288.088,-347.493
168.943,-288.103,-347.5
168.956,-288.109,-347.499
169.145,-288.078,-347.349
169.125,-288.28,-347.363
169.164,-288.318,-347.361
169.025,-288.173,-347.277
168.942,-288.124,-347.199
169.084,-288.18,-347.261
169.133,-288.236,-347.495
169.009,-288.224,-347.548
168.935,-288.134,-347.585
168.909,-288.209,-347.379
169.02,-288.281,-347.426
169.093,-288.26,-347.387
169.111,-288.402,-347.362
169.239,-288.158,-347.202
169.179,-288.159,-347.258
169.32,-288.097,-347.371
169.346,-288.149,-347.36
169.155,-288.145,-347.327
169.096,-288.195,-347.259
169.234,-288.054,-347.368
169.303,-288.129,-347.324
169.166,-288.061,-347.452
169.341,-288.087,-347.26
169.132,-288.124,-347.4
169.135,-288.184,-347.354
169.202,-288.185,-347.291
169.262,-288.243,-347.314
169.291,-288.272,-347.456
169.411,-288.216,-347.501
169.05,-288.224,-347.45
169.163,-288.355,-347.412
168.993,-288.241,-347.438
169.08,-288.151,-347.449
169.032,-288.167,-347.455
169.106,-288.273,-347.433
169.283,-288.376,-347.557
169.212,-288.356,-347.42
169.132,-288.124,-347.4
169.135,-288.184,-347.354
169.202,-288.185,-347.291
169.262,-288.243,-347.314
169.291,-288.272,-347.456
169.411,-288.216,-347.501
169.05,-288.224,-347.45
169.163,-288.355,-347.412
168.993,-288.241,-347.438
169.08,-288.151,-347.449
169.032,-288.167,-347.455
169.106,-288.273,-347.433
169.283,-288.376,-347.557
169.212,-288.356,-347.42
169.068,-288.265,-347.358
169.029,-288.313,-347.261
169.023,-288.359,-347.258
168.972,-288.407,-347.382
169.134,-288.363,-347.257
169.054,-288.211,-347.35
169.192,-288.199,-347.415
169.162,-288.149,-347.457
169.119,-288.22,-347.294
169.176,-288.199,-347.287
169.237,-288.166,-347.476
169.278,-288.401,-347.414
169.358,-288.361,-347.46
169.124,-288.316,-347.502
169.182,-288.336,-347.414
169.092,-288.266,-347.364
168.994,-288.276,-347.415
169.074,-288.246,-347.297
169.106,-288.209,-347.242
169.243,-288.276,-347.37
169.358,-288.295,-347.487
169.376,-288.301,-347.345
169.228,-288.218,-347.163
169.185,-288.228,-347.305
169.219,-288.29,-347.415
169.122,-288.163,-347.422
169.164,-288.176,-347.279
169.337,-288.093,-347.298
169.414,-288.244,-347.314
169.235,-288.399,-347.381
169.166,-288.382,-347.347
169.273,-288.212,-347.471
169.167,-288.138,-347.507
169.19,-288.266,-347.502
169.24,-288.213,-347.507
169.217,-288.183,-347.489
169.199,-288.145,-347.439
169.17,-288.17,-347.345
169.308,-288.12,-347.544
169.314,-288.328,-347.463
169.399,-288.325,-347.461
169.337,-288.383,-347.414
169.294,-288.404,-347.361
169.232,-288.386,-347.297
169.094,-288.31,-347.524
169.074,-288.299,-347.434
169.129,-288.258,-347.513
169.073,-288.191,-347.407
169.098,-288.252,-347.409
169.147,-288.166,-347.424
169.123,-288.386,-347.533
169.181,-288.302,-347.518
169.19,-288.433,-347.462
169.092,-288.271,-347.367
169.037,-288.192,-347.406
169.116,-288.417,-347.469
169.197,-288.233,-347.404
169.278,-288.163,-347.501
169.266,-288.276,-347.605
169.207,-288.213,-347.589
169.268,-288.126,-347.534
169.244,-288.182,-347.431
169.153,-288.294,-347.29
169.143,-288.216,-347.501
169.121,-288.217,-347.513
169.15,-288.295,-347.418
169.171,-288.329,-347.304
169.383,-288.256,-347.409
169.308,-288.193,-347.306
169.191,-288.162,-347.354
169.181,-288.191,-347.447
169.201,-288.463,-347.581
169.243,-288.403,-347.56
169.246,-288.356,-347.521
169.418,-288.13,-347.607
169.355,-288.017,-347.592
169.39,-288.142,-347.512
169.298,-288.23,-347.413
169.231,-288.231,-347.382
169.076,-288.258,-347.618
169.349,-288.049,-347.438
169.234,-288.193,-347.412
169.203,-288.142,-347.372
169.25,-288.242,-347.364
169.294,-288.389,-347.382
169.292,-288.3,-347.342
169.39,-288.142,-347.512
169.298,-288.23,-347.413
169.231,-288.231,-347.382
169.076,-288.258,-347.618
169.349,-288.049,-347.438
169.234,-288.193,-347.412
169.203,-288.142,-347.372
169.25,-288.242,-347.364
169.294,-288.389,-347.382
169.292,-288.3,-347.342
169.202,-288.315,-347.325
169.264,-288.228,-347.381
169.342,-288.224,-347.334
169.151,-288.234,-347.311
169.104,-288.349,-347.231
169.156,-288.346,-347.354
169.299,-288.228,-347.316
169.182,-288.233,-347.245
169.113,-288.262,-347.391
169.039,-288.183,-347.302
169.037,-288.225,-347.354
169.291,-288.217,-347.386
169.239,-288.169,-347.416
169.112,-288.082,-347.523
169.188,-288.061,-347.564
169.279,-288.035,-347.523
169.314,-288.058,-347.52
169.334,-288.052,-347.268
169.206,-287.861,-347.314
169.068,-288.041,-347.544
169.031,-287.964,-347.635
169.16,-288.03,-347.463
169.15,-288.087,-347.502
169.199,-288.025,-347.502
169.145,-287.982,-347.533
169.272,-288.097,-347.373
169.095,-288.22,-347.581
169.186,-288.126,-347.468
169.128,-288.046,-347.43
169.134,-288.117,-347.58
169.256,-288.093,-347.401
169.178,-288.259,-347.577
169.147,-288.171,-347.534
169.262,-288.237,-347.457
169.149,-288.107,-347.488
169.311,-287.998,-347.411
169.34,-288.06,-347.479
169.163,-288.024,-347.372
169.155,-288.003,-347.268
169.152,-288.137,-347.343
169.203,-288.08,-347.442
169.31,-288.122,-347.422
169.136,-288.109,-347.626
169.304,-288.262,-347.689
169.302,-288.147,-347.503
169.158,-288.141,-347.667
169.245,-288.154,-347.631
169.241,-288.081,-347.456
169.259,-288.219,-347.495
169.237,-288.244,-347.419
169.294,-288.257,-347.451
169.027,-288.175,-347.381
169.116,-288.129,-347.412
169.191,-288.263,-347.294
169.177,-288.098,-347.318
169.179,-288.15,-347.427
168.998,-288.043,-347.573
168.985,-288.161,-347.487
169.003,-288.143,-347.486
169.112,-288.109,-347.473
169.143,-288.25,-347.381
169.248,-288.276,-347.165
169.083,-288.237,-347.359
168.999,-288.124,-347.351
169.238,-288.17,-347.47
169.018,-288.071,-347.428
169.114,-288.102,-347.477
169.229,-288.198,-347.335
169.175,-288.184,-347.414
169.18,-288.162,-347.538
169.158,-288.094,-347.706
169.144,-288.056,-347.558
169.262,-288.162,-347.56
169.197,-288.142,-347.687
169.209,-288.099,-347.569
169.153,-288.239,-347.55
169.157,-288.153,-347.574
169.008,-288.148,-347.428
169.195,-288.167,-347.412
169.226,-288.195,-347.469
169.3,-288.209,-347.479
169.388,-288.234,-347.484
169.245,-288.251,-347.577
169.3,-288.301,-347.515
169.149,-288.386,-347.333
169.303,-288.336,-347.32
169.218,-288.369,-347.496
169.07,-288.331,-347.378
169.255,-288.202,-347.385
169.417,-288.208,-347.368
169.3,-288.301,-347.515
169.149,-288.386,-347.333
169.303,-288.336,-347.32
169.218,-288.369,-347.496
169.07,-288.331,-347.378
169.255,-288.202,-347.385
169.417,-288.208,-347.368
169.343,-288.342,-347.463
169.285,-288.156,-347.422
169.355,-288.398,-347.465
169.395,-288.355,-347.563
169.322,-288.241,-347.486
169.386,-288.169,-347.528
169.209,-288.304,-347.366
169.322,-288.107,-347.404
169.464,-288.069,-347.561
169.235,-287.981,-347.478
169.182,-288.028,-347.451
169.168,-288.164,-347.497
169.166,-288.316,-347.422
169.241,-288.251,-347.463
169.295,-288.274,-347.406
169.266,-288.167,-347.571
169.246,-288.204,-347.454
169.241,-288.417,-347.396
169.3,-288.212,-347.247
169.431,-288.285,-347.303
169.351,-288.271,-347.535
169.412,-288.173,-347.464
169.28,-288.172,-347.368
169.286,-288.153,-347.36
169.407,-288.108,-347.493
169.337,-288.318,-347.495
169.25,-288.146,-347.534
169.253,-288.246,-347.396
169.123,-288.063,-347.306
169.113,-288.052,-347.241
169.165,-288.015,-347.494
168.977,-288.216,-347.602
169.241,-288.233,-347.489
169.299,-288.187,-347.365
169.264,-288.154,-347.466
169.328,-288.102,-347.412
169.203,-287.96,-347.5
169.022,-288.204,-347.502
169.064,-288.14,-347.555
169.132,-288.13,-347.516
169.285,-288.141,-347.336
169.261,-288.123,-347.557
169.228,-287.998,-347.557
169.05,-288.064,-347.563
169.065,-288.043,-347.542
169.235,-288.181,-347.485
169.233,-288.207,-347.492
169.232,-288.148,-347.532
169.242,-288.036,-347.604
169.268,-288.047,-347.491
169.348,-287.984,-347.391
169.296,-288.139,-347.498
169.397,-288.096,-347.523
169.321,-288.215,-347.507
169.148,-288.264,-347.357
169.33,-288.14,-347.444
169.268,-288.077,-347.515
169.072,-288.165,-347.522
169.208,-288.219,-347.57
169.226,-288.313,-347.292
169.271,-288.29,-347.435
169.273,-288.303,-347.48
169.235,-288.244,-347.285
169.333,-288.255,-347.369
169.08,-288.296,-347.499
169.199,-288.404,-347.409
169.097,-288.255,-347.502
169.118,-288.327,-347.463
169.126,-288.352,-347.55
169.2,-288.374,-347.367
169.253,-288.427,-347.546
169.136,-288.483,-347.467
169.076,-288.523,-347.376
169.112,-288.499,-347.361
169.192,-288.293,-347.453
169.224,-288.242,-347.414
169.148,-288.256,-347.394
169.154,-288.21,-347.451
169.174,-288.181,-347.448
169.316,-288.339,-347.417
169.216,-288.159,-347.6
169.15,-288.297,-347.515
169.116,-288.23,-347.6
169.061,-288.167,-347.469
169.113,-288.218,-347.641
169.048,-288.185,-347.59
169.097,-288.281,-347.587
169.124,-288.478,-347.486
169.336,-288.516,-347.415
169.422,-288.203,-347.614
169.412,-288.246,-347.574
169.266,-288.177,-347.532
169.275,-288.157,-347.374
